disease,symptoms,original_symptoms
tiêu chảy,"tôi xuất hiện phân có máu cùng với da lạnh, không có nước tiểu, buồn nôn","phân có máu, da lạnh, không có nước tiểu, buồn nôn"
tiêu chảy,"tôi gặp phải da lạnh kèm theo khô da, đầy hơi, ít hay không có nước mắt khi khóc","da lạnh, khô da, đầy hơi, ít hay không có nước mắt khi khóc"
tiêu chảy,"tôi có dấu hiệu khô đồng thời chuột rút, da lạnh, mệt mỏi","khô, chuột rút, da lạnh, mệt mỏi"
tiêu chảy,"tôi gặp phải phân có máu cùng với nước tiểu màu vàng đậm, buồn nôn, nước tiểu rất ít","phân có máu, nước tiểu màu vàng đậm, buồn nôn, nước tiểu rất ít"
tiêu chảy,"tôi có dấu hiệu phân có máu đồng thời khô da, không có nước tiểu, nước tiểu rất ít","phân có máu, khô da, không có nước tiểu, nước tiểu rất ít"
tiêu chảy,"tôi phát hiện da lạnh cùng với khô da, chóng mặt, ít hay không có nước mắt khi khóc","da lạnh, khô da, chóng mặt, ít hay không có nước mắt khi khóc"
tiêu chảy,"tôi cảm thấy chuột rút cùng với khô da, chóng mặt, đầy hơi","chuột rút, khô da, chóng mặt, đầy hơi"
tiêu chảy,"tôi xuất hiện khô ngoài ra còn đau bụng, dính miệng, mệt mỏi","khô, đau bụng, dính miệng, mệt mỏi"
tiêu chảy,"tôi đang có đau bụng đồng thời da lạnh, mệt mỏi, sốt","đau bụng, da lạnh, mệt mỏi, sốt"
tiêu chảy,"tôi bị chuột rút đồng thời da lạnh, chóng mặt, đầy hơi","chuột rút, da lạnh, chóng mặt, đầy hơi"
tiêu chảy,"tôi đang có mệt mỏi ngoài ra còn khô da, không có nước tiểu, sốt","mệt mỏi, khô da, không có nước tiểu, sốt"
tiêu chảy,"tôi đang gặp phải khô ngoài ra còn dính miệng, chóng mặt, đầy hơi","khô, dính miệng, chóng mặt, đầy hơi"
tiêu chảy,"tôi bị nước tiểu màu vàng đậm kèm theo mệt mỏi, không có nước tiểu, ít hay không có nước mắt khi khóc","nước tiểu màu vàng đậm, mệt mỏi, không có nước tiểu, ít hay không có nước mắt khi khóc"
tiêu chảy,"tôi đang gặp phải dính miệng và mệt mỏi, sốt, nước tiểu rất ít","dính miệng, mệt mỏi, sốt, nước tiểu rất ít"
tiêu chảy,"tôi có triệu chứng phân có máu và dính miệng, da lạnh, khô da","phân có máu, dính miệng, da lạnh, khô da"
táo bón,"tôi bị chướng bụng ngoài ra còn giảm cân, đau khi đi đại tiện","chướng bụng, giảm cân, đau khi đi đại tiện"
